SampleID,Problem,Solution
1391,Solve for x: x*x = (81),x = -9 or x = 9
1392,(44) - (-20),The result of (44) - (-20) is 64.
1393,Solve for x: (2)*x + (-18) = (49),x = 67/2
1394,Solve for x: (2)*x = (-90),x = -45
1395,(-2) + (28) + (28) + (9) + (-9),The result of (-2) + (28) + (28) + (9) + (-9) is 54.
1396,Solve for x: x*x = (81),x = -9 or x = 9
1397,Solve for x: x + (-4) = (9),x = 13
1398,Solve for x: (2)*x = (-7),x = -7/2
1399,Solve for x: (17)*x = (-88),x = -88/17
1400,(31) - (7),The result of (31) - (7) is 24.
1401,(19) + (-26) + (1) + (1),The result of (19) + (-26) + (1) + (1) is -5.
1402,Solve for x: x*x = (100),x = -10 or x = 10
1403,(19) + (-1) + (-17) + (23),The result of (19) + (-1) + (-17) + (23) is 24.
1404,Solve for x: x + (-2) = (6),x = 8
1405,(17) + (2) + (-27),The result of (17) + (2) + (-27) is -8.
1406,Solve for x: x*x = (100),x = -10 or x = 10
1407,(15) + (17) + (-8) + (-4),The result of (15) + (17) + (-8) + (-4) is 20.
1408,Solve for x: (9)*x + (-15) = (25),x = 40/9
1409,Solve for x: x + (8) = (-10),x = -18
1410,Solve for x: (10)*x = (93),x = 93/10
1411,Solve for x: x + (-16) = (12),x = 28
1412,Solve for x: x*x = (16),x = -4 or x = 4
1413,(1) / (4),The result of (1) / (4) is 0.25.
1414,Solve for x: (1)*x = (-38),x = -38
1415,Solve for x: x + (19) = (6),x = -13
1416,Solve for x: x*x = (16),x = -4 or x = 4
1417,Solve for x: (4)*x + (-18) = (-8),x = 5/2
1418,Solve for x: (3)*x + (-10) = (44),x = 18
1419,Solve for x: x*x = (49),x = -7 or x = 7
1420,Solve for x: x*x = (100),x = -10 or x = 10
1421,(25) / (46),The result of (25) / (46) is 0.5434782608695652.
1422,(30) + (-2) + (-4),The result of (30) + (-2) + (-4) is 24.
1423,(48) + (10),The result of (48) + (10) is 58.
1424,(27) * (19),The result of (27) * (19) is 513.
1425,Solve for x: (5)*x = (-48),x = -48/5
1426,(-22) + (-15) + (10) + (17) + (-6),The result of (-22) + (-15) + (10) + (17) + (-6) is -16.
1427,Solve for x: x*x = (49),x = -7 or x = 7
1428,(-9) + (21) + (-27) + (-21),The result of (-9) + (21) + (-27) + (-21) is -36.
1429,Solve for x: x*x = (36),x = -6 or x = 6
1430,Solve for x: x + (-20) = (1),x = 21
1431,Solve for x: (13)*x = (79),x = 79/13
1432,Solve for x: x + (18) = (-6),x = -24
1433,Solve for x: x*x = (1),x = -1 or x = 1
1434,(-1) + (-13) + (9) + (30) + (-27),The result of (-1) + (-13) + (9) + (30) + (-27) is -2.
1435,(29) + (-5) + (8) + (13) + (24),The result of (29) + (-5) + (8) + (13) + (24) is 69.
1436,(47) * (18),The result of (47) * (18) is 846.
1437,(40) - (-23),The result of (40) - (-23) is 63.
1438,Solve for x: x*x = (1),x = -1 or x = 1
1439,Solve for x: (10)*x = (70),x = 7
1440,Solve for x: (7)*x + (-2) = (48),x = 50/7
1441,(-25) + (28) + (12),The result of (-25) + (28) + (12) is 15.
1442,Solve for x: (10)*x + (-19) = (11),x = 3
1443,Solve for x: x*x = (4),x = -2 or x = 2
1444,(-26) + (25) + (-10) + (-22),The result of (-26) + (25) + (-10) + (-22) is -33.
1445,Solve for x: x + (-17) = (-2),x = 15
1446,Solve for x: x + (14) = (0),x = -14
1447,Solve for x: x*x = (36),x = -6 or x = 6
1448,(20) + (-19) + (-3) + (-27) + (-13),The result of (20) + (-19) + (-3) + (-27) + (-13) is -42.
1449,Solve for x: x*x = (81),x = -9 or x = 9
1450,Solve for x: x + (-2) = (7),x = 9
1451,(10) / (6),The result of (10) / (6) is 1.6666666666666667.
1452,(14) / (29),The result of (14) / (29) is 0.4827586206896552.
1453,Solve for x: x*x = (16),x = -4 or x = 4
1454,Solve for x: x + (-9) = (15),x = 24
1455,(-9) + (-7) + (-20),The result of (-9) + (-7) + (-20) is -36.
1456,Solve for x: (5)*x + (17) = (2),x = -3
1457,(-6) + (-9) + (15),The result of (-6) + (-9) + (15) is 0.
1458,Solve for x: x*x = (81),x = -9 or x = 9
1459,Solve for x: x + (6) = (-13),x = -19
1460,Solve for x: x*x = (81),x = -9 or x = 9
1461,Solve for x: (1)*x + (-9) = (88),x = 97
1462,Solve for x: (10)*x = (-33),x = -33/10
1463,Solve for x: x*x = (25),x = -5 or x = 5
1464,Solve for x: (3)*x + (8) = (23),x = 5
1465,Solve for x: (15)*x = (42),x = 14/5
1466,Solve for x: x*x = (16),x = -4 or x = 4
1467,(9) + (3) + (-2),The result of (9) + (3) + (-2) is 10.
1468,(25) + (-10) + (-17),The result of (25) + (-10) + (-17) is -2.
1469,(24) - (41),The result of (24) - (41) is -17.
1470,(33) * (-50),The result of (33) * (-50) is -1650.
1471,Solve for x: (10)*x + (-12) = (68),x = 8
1472,(30) + (24) + (-25) + (19),The result of (30) + (24) + (-25) + (19) is 48.
1473,Solve for x: x + (5) = (-13),x = -18
1474,Solve for x: (9)*x + (15) = (98),x = 83/9
1475,Solve for x: (13)*x = (28),x = 28/13
1476,Solve for x: (13)*x = (46),x = 46/13
1477,Solve for x: x + (-14) = (-6),x = 8
1478,(24) - (-4),The result of (24) - (-4) is 28.
1479,(-10) + (6) + (-16) + (-20) + (27),The result of (-10) + (6) + (-16) + (-20) + (27) is -13.
1480,Solve for x: x + (2) = (4),x = 2
1481,(-1) + (18) + (-12) + (9),The result of (-1) + (18) + (-12) + (9) is 14.
1482,Solve for x: x*x = (100),x = -10 or x = 10
1483,Solve for x: (5)*x + (12) = (-8),x = -4
1484,Solve for x: (3)*x + (-7) = (57),x = 64/3
1485,Solve for x: (8)*x + (-8) = (-15),x = -7/8
1486,Solve for x: (16)*x = (-53),x = -53/16
1487,Solve for x: (12)*x = (10),x = 5/6
1488,Solve for x: x + (12) = (7),x = -5
1489,Solve for x: x*x = (16),x = -4 or x = 4
1490,Solve for x: x*x = (4),x = -2 or x = 2
1491,(-19) + (-26) + (-18) + (-3),The result of (-19) + (-26) + (-18) + (-3) is -66.
1492,Solve for x: (7)*x + (-10) = (31),x = 41/7
1493,(12) + (22) + (0) + (-25) + (-14),The result of (12) + (22) + (0) + (-25) + (-14) is -5.
1494,Solve for x: x*x = (81),x = -9 or x = 9
1495,(11) * (10),The result of (11) * (10) is 110.
1496,Solve for x: (6)*x + (9) = (-4),x = -13/6
1497,Solve for x: x*x = (16),x = -4 or x = 4
1498,(-12) + (21) + (23) + (6) + (22),The result of (-12) + (21) + (23) + (6) + (22) is 60.
1499,(-28) + (-21) + (-22),The result of (-28) + (-21) + (-22) is -71.
